Date,HomeTeam,AwayTeam,FTHG,FTAG
28/08/10,Roma,Cesena,0,0
28/08/10,Udinese,Genoa,0,1
29/08/10,Bari,Juventus,1,0
29/08/10,Chievo,Catania,2,1
29/08/10,Fiorentina,Napoli,1,1
29/08/10,Milan,Lecce,4,0
29/08/10,Palermo,Cagliari,0,0
29/08/10,Parma,Brescia,2,0
29/08/10,Sampdoria,Lazio,2,0
30/08/10,Bologna,Inter,0,0
11/09/10,Cagliari,Roma,5,1
11/09/10,Cesena,Milan,2,0
11/09/10,Inter,Udinese,2,1
12/09/10,Brescia,Palermo,3,2
12/09/10,Catania,Parma,2,1
12/09/10,Genoa,Chievo,1,3
12/09/10,Juventus,Sampdoria,3,3
12/09/10,Lazio,Bologna,3,1
12/09/10,Lecce,Fiorentina,1,0
12/09/10,Napoli,Bari,2,2
18/09/10,Fiorentina,Lazio,1,2
18/09/10,Milan,Catania,1,1
19/09/10,Bari,Cagliari,0,0
19/09/10,Cesena,Lecce,1,0
19/09/10,Chievo,Brescia,0,1
19/09/10,Palermo,Inter,1,2
19/09/10,Parma,Genoa,1,1
19/09/10,Roma,Bologna,2,2
19/09/10,Sampdoria,Napoli,1,2
19/09/10,Udinese,Juventus,0,4
22/09/10,Bologna,Udinese,2,1
22/09/10,Brescia,Roma,2,1
22/09/10,Cagliari,Sampdoria,0,0
22/09/10,Catania,Cesena,2,0
22/09/10,Genoa,Fiorentina,1,1
22/09/10,Inter,Bari,4,0
22/09/10,Lazio,Milan,1,1
22/09/10,Lecce,Parma,1,1
22/09/10,Napoli,Chievo,1,3
23/09/10,Juventus,Palermo,1,3
25/09/10,Milan,Genoa,1,0
25/09/10,Roma,Inter,1,0
26/09/10,Bari,Brescia,2,1
26/09/10,Catania,Bologna,1,1
26/09/10,Cesena,Napoli,1,4
26/09/10,Chievo,Lazio,0,1
26/09/10,Fiorentina,Parma,2,0
26/09/10,Juventus,Cagliari,4,2
26/09/10,Palermo,Lecce,2,2
26/09/10,Sampdoria,Udinese,0,0
02/10/10,Parma,Milan,0,1
02/10/10,Udinese,Cesena,1,0
03/10/10,Bologna,Sampdoria,1,1
03/10/10,Chievo,Cagliari,0,0
03/10/10,Fiorentina,Palermo,1,2
03/10/10,Genoa,Bari,2,1
03/10/10,Inter,Juventus,0,0
03/10/10,Lazio,Brescia,1,0
03/10/10,Lecce,Catania,1,0
03/10/10,Napoli,Roma,2,0
16/10/10,Milan,Chievo,3,1
16/10/10,Roma,Genoa,2,1
17/10/10,Bari,Lazio,0,2
17/10/10,Brescia,Udinese,0,1
17/10/10,Cagliari,Inter,0,1
17/10/10,Catania,Napoli,1,1
17/10/10,Cesena,Parma,1,1
17/10/10,Juventus,Lecce,4,0
17/10/10,Palermo,Bologna,4,1
17/10/10,Sampdoria,Fiorentina,2,1
23/10/10,Fiorentina,Bari,2,1
24/10/10,Bologna,Juventus,0,0
24/10/10,Chievo,Cesena,2,1
24/10/10,Genoa,Catania,1,0
24/10/10,Inter,Sampdoria,1,1
24/10/10,Lazio,Cagliari,2,1
24/10/10,Lecce,Brescia,2,1
24/10/10,Parma,Roma,0,0
24/10/10,Udinese,Palermo,2,1
25/10/10,Napoli,Milan,1,2
29/10/10,Genoa,Inter,0,1
30/10/10,Milan,Juventus,1,2
30/10/10,Roma,Lecce,2,0
31/10/10,Bari,Udinese,0,2
31/10/10,Brescia,Napoli,0,1
31/10/10,Cagliari,Bologna,2,0
31/10/10,Catania,Fiorentina,0,0
31/10/10,Cesena,Sampdoria,0,1
31/10/10,Palermo,Lazio,0,1
31/10/10,Parma,Chievo,0,0
06/11/10,Bologna,Lecce,2,0
06/11/10,Inter,Brescia,1,1
07/11/10,Bari,Milan,2,3
07/11/10,Fiorentina,Chievo,1,0
07/11/10,Juventus,Cesena,3,1
07/11/10,Lazio,Roma,0,2
07/11/10,Napoli,Parma,2,0
07/11/10,Palermo,Genoa,1,0
07/11/10,Sampdoria,Catania,0,0
07/11/10,Udinese,Cagliari,1,1
10/11/10,Brescia,Juventus,1,1
10/11/10,Cagliari,Napoli,0,1
10/11/10,Catania,Udinese,1,0
10/11/10,Cesena,Lazio,1,0
10/11/10,Chievo,Bari,0,0
10/11/10,Genoa,Bologna,1,0
10/11/10,Lecce,Inter,1,1
10/11/10,Milan,Palermo,3,1
10/11/10,Roma,Fiorentina,3,2
11/11/10,Parma,Sampdoria,1,0
13/11/10,Fiorentina,Cesena,1,0
13/11/10,Juventus,Roma,1,1
14/11/10,Bari,Parma,0,1
14/11/10,Bologna,Brescia,1,0
14/11/10,Cagliari,Genoa,0,1
14/11/10,Inter,Milan,0,1
14/11/10,Lazio,Napoli,2,0
14/11/10,Palermo,Catania,3,1
14/11/10,Sampdoria,Chievo,0,0
14/11/10,Udinese,Lecce,4,0
20/11/10,Milan,Fiorentina,1,0
20/11/10,Roma,Udinese,2,0
21/11/10,Brescia,Cagliari,1,2
21/11/10,Catania,Bari,1,0
21/11/10,Cesena,Palermo,1,2
21/11/10,Chievo,Inter,2,1
21/11/10,Genoa,Juventus,0,2
21/11/10,Lecce,Sampdoria,2,3
21/11/10,Napoli,Bologna,4,1
21/11/10,Parma,Lazio,1,1
27/11/10,Juventus,Fiorentina,1,1
27/11/10,Sampdoria,Milan,1,1
28/11/10,Bari,Cesena,1,1
28/11/10,Brescia,Genoa,0,0
28/11/10,Cagliari,Lecce,3,2
28/11/10,Inter,Parma,5,2
28/11/10,Lazio,Catania,1,1
28/11/10,Palermo,Roma,3,1
28/11/10,Udinese,Napoli,3,1
03/12/10,Lazio,Inter,3,1
04/12/10,Chievo,Roma,2,2
04/12/10,Milan,Brescia,3,0
05/12/10,Catania,Juventus,1,3
05/12/10,Cesena,Bologna,0,2
05/12/10,Fiorentina,Cagliari,1,0
05/12/10,Lecce,Genoa,1,3
05/12/10,Parma,Udinese,2,1
05/12/10,Sampdoria,Bari,3,0
06/12/10,Napoli,Palermo,1,0
08/12/10,Bologna,Chievo,2,1
11/12/10,Genoa,Napoli,0,1
11/12/10,Palermo,Parma,3,1
11/12/10,Udinese,Fiorentina,2,1
12/12/10,Bologna,Milan,0,3
12/12/10,Brescia,Sampdoria,1,0
12/12/10,Cagliari,Catania,3,0
12/12/10,Juventus,Lazio,2,1
12/12/10,Lecce,Chievo,3,2
12/12/10,Roma,Bari,1,0
18/12/10,Cesena,Cagliari,1,0
18/12/10,Milan,Roma,0,1
19/12/10,Bari,Palermo,1,1
19/12/10,Catania,Brescia,1,0
19/12/10,Chievo,Juventus,1,1
19/12/10,Lazio,Udinese,3,2
19/12/10,Napoli,Lecce,1,0
19/12/10,Parma,Bologna,0,0
06/01/11,Bologna,Fiorentina,1,1
06/01/11,Brescia,Cesena,1,2
06/01/11,Cagliari,Milan,0,1
06/01/11,Genoa,Lazio,0,0
06/01/11,Inter,Napoli,3,1
06/01/11,Juventus,Parma,1,4
06/01/11,Lecce,Bari,0,1
06/01/11,Palermo,Sampdoria,3,0
06/01/11,Roma,Catania,4,2
06/01/11,Udinese,Chievo,2,0
09/01/11,Bari,Bologna,0,2
09/01/11,Catania,Inter,1,2
09/01/11,Cesena,Genoa,0,0
09/01/11,Chievo,Palermo,0,0
09/01/11,Fiorentina,Brescia,3,2
09/01/11,Lazio,Lecce,1,2
09/01/11,Milan,Udinese,4,4
09/01/11,Napoli,Juventus,3,0
09/01/11,Parma,Cagliari,1,2
09/01/11,Sampdoria,Roma,2,1
15/01/11,Inter,Bologna,4,1
15/01/11,Napoli,Fiorentina,0,0
16/01/11,Brescia,Parma,2,0
16/01/11,Cagliari,Palermo,3,1
16/01/11,Catania,Chievo,1,1
16/01/11,Cesena,Roma,0,1
16/01/11,Genoa,Udinese,2,4
16/01/11,Juventus,Bari,2,1
16/01/11,Lazio,Sampdoria,1,0
16/01/11,Lecce,Milan,1,1
19/01/11,Inter,Cesena,3,2
22/01/11,Chievo,Genoa,0,0
22/01/11,Palermo,Brescia,1,0
22/01/11,Parma,Catania,2,0
22/01/11,Roma,Cagliari,3,0
23/01/11,Bari,Napoli,0,2
23/01/11,Bologna,Lazio,3,1
23/01/11,Fiorentina,Lecce,1,1
23/01/11,Milan,Cesena,2,0
23/01/11,Sampdoria,Juventus,0,0
23/01/11,Udinese,Inter,3,1
29/01/11,Catania,Milan,0,2
29/01/11,Lazio,Fiorentina,2,0
30/01/11,Brescia,Chievo,0,3
30/01/11,Cagliari,Bari,2,1
30/01/11,Genoa,Parma,3,1
30/01/11,Inter,Palermo,3,2
30/01/11,Juventus,Udinese,1,2
30/01/11,Lecce,Cesena,1,1
30/01/11,Napoli,Sampdoria,4,0
01/02/11,Milan,Lazio,0,0
02/02/11,Cesena,Catania,1,1
02/02/11,Chievo,Napoli,2,0
02/02/11,Fiorentina,Genoa,1,0
02/02/11,Palermo,Juventus,2,1
02/02/11,Parma,Lecce,0,1
02/02/11,Roma,Brescia,1,1
02/02/11,Sampdoria,Cagliari,0,1
02/02/11,Udinese,Bologna,1,1
03/02/11,Bari,Inter,0,3
05/02/11,Cagliari,Juventus,1,3
05/02/11,Udinese,Sampdoria,2,0
06/02/11,Bologna,Catania,1,0
06/02/11,Brescia,Bari,2,0
06/02/11,Genoa,Milan,1,1
06/02/11,Inter,Roma,5,3
06/02/11,Lazio,Chievo,1,1
06/02/11,Lecce,Palermo,2,4
06/02/11,Napoli,Cesena,2,0
06/02/11,Parma,Fiorentina,1,1
12/02/11,Milan,Parma,4,0
12/02/11,Roma,Napoli,0,2
13/02/11,Bari,Genoa,0,0
13/02/11,Brescia,Lazio,0,2
13/02/11,Cagliari,Chievo,4,1
13/02/11,Catania,Lecce,3,2
13/02/11,Cesena,Udinese,0,3
13/02/11,Juventus,Inter,1,0
13/02/11,Palermo,Fiorentina,2,4
13/02/11,Sampdoria,Bologna,3,1
16/02/11,Fiorentina,Inter,1,2
16/02/11,Sampdoria,Genoa,0,1
19/02/11,Bologna,Palermo,1,0
19/02/11,Inter,Cagliari,1,0
20/02/11,Chievo,Milan,1,2
20/02/11,Fiorentina,Sampdoria,0,0
20/02/11,Genoa,Roma,4,3
20/02/11,Lazio,Bari,1,0
20/02/11,Lecce,Juventus,2,0
20/02/11,Napoli,Catania,1,0
20/02/11,Parma,Cesena,2,2
20/02/11,Udinese,Brescia,0,0
23/02/11,Bologna,Roma,0,1
